ticker,event_date,v,vol_z,tone,tone_z,direction,novelty_days,intensity_percentile
HEROMOTOCO,2026-07-15,5.0,11.974509964457445,0.6552708333333334,0.1667840799207666,1.0,231.0,95.0413223140496
ICICIGI,2023-04-19,14.0,5.660105716609345,0.1838,-0.0857451654810475,-1.0,,66.11570247933885
ICICIGI,2023-05-29,11.0,5.208525261819122,-0.2329,-0.455757079268309,-1.0,40.0,59.50413223140496
ICICIGI,2023-07-19,11.0,6.602473299693338,0.5536,-0.0477557667124506,-1.0,51.0,75.20661157024793
ICICIGI,2023-09-21,6.0,3.031460698233092,4.7304,2.6533542928686296,1.0,64.0,2.479338842975207
ICICIGI,2023-09-24,7.0,3.0473720525723484,1.3386,0.5718250407569019,1.0,3.0,4.545454545454546
ICICIGI,2023-09-28,10.0,4.284897130366728,-0.9431,-0.807537352740071,-1.0,4.0,42.97520661157025
ICICIGI,2024-01-16,6.0,4.532711572167004,1.4454,0.8025166580665135,1.0,110.0,49.17355371900827
ICICIGI,2024-04-18,12.0,7.151621133745177,1.2999,0.4246964059384401,1.0,93.0,78.92561983471074
ICICIGI,2024-07-04,10.0,4.436586294396759,1.1512,0.4575321273045392,1.0,77.0,46.28099173553719
ICICIGI,2024-07-19,10.0,4.090746278288522,0.0751,-0.1419594645097291,-1.0,15.0,35.950413223140494
ICICIGI,2024-10-18,14.0,13.424838708795845,0.9439,0.3465311063874491,1.0,91.0,97.10743801652893
ICICIGI,2025-01-17,6.0,5.197292253264544,1.2382,0.4149462971839288,1.0,91.0,59.09090909090909
ICICIGI,2025-01-20,6.0,4.750440992529817,1.0338,0.2909583959732585,1.0,3.0,52.06611570247934
ICICIGI,2025-04-15,8.0,6.730085589694189,1.4685,0.908955560640935,1.0,85.0,76.44628099173553
ICICIGI,2025-07-15,6.0,3.2578969765427104,-0.0259,-0.1888063328697648,-1.0,91.0,16.94214876033058
ICICIGI,2025-07-18,12.0,5.955805593003948,1.9434,0.8277064968957946,1.0,3.0,69.83471074380165
ICICIGI,2025-10-15,9.0,4.906160674903109,0.6094,0.0572346611101391,1.0,89.0,53.719008264462815
ICICIGI,2025-12-08,6.0,3.8234530649561855,1.2383,0.2536952271150936,1.0,54.0,28.925619834710744
ICICIGI,2025-12-21,6.0,3.1248973154076314,1.6262,0.4618852248059188,1.0,13.0,7.851239669421488
ICICIGI,2026-01-13,9.0,4.96599235814355,1.5066,0.4540434109229687,1.0,23.0,54.13223140495868
ICICIGI,2026-04-16,9.0,10.3786332984597,1.5011,1.0495604533053986,1.0,93.0,92.56198347107438
ICICIGI,2026-06-11,5.0,3.6340606388829,-0.299,-0.3234284120101851,-1.0,56.0,23.553719008264462
ICICIGI,2026-06-15,5.0,3.272744315805216,-2.4516,-1.4315302636516252,-1.0,4.0,17.768595041322314
ICICIGI,2026-07-15,6.0,3.60523097286612,0.4631666666666666,0.1933616409591813,1.0,30.0,22.727272727272727
IDFCFIRSTB,2023-05-02,21.0,3.679828559880552,1.7885,0.4596413310342783,1.0,,24.380165289256198
IDFCFIRSTB,2023-06-22,13.0,3.0920623924523425,1.0822,0.0302397744468737,1.0,51.0,5.785123966942149
IDFCFIRSTB,2023-07-04,31.0,7.799481459136752,1.7512,0.3359600262029006,1.0,12.0,85.12396694214877
IDFCFIRSTB,2023-10-30,12.0,4.049505354630022,1.7354,0.3247017892180538,1.0,118.0,35.12396694214876
IDFCFIRSTB,2023-11-15,10.0,3.009395590081283,1.4719,0.2689217746638612,1.0,16.0,0.8264462809917356
IDFCFIRSTB,2024-03-19,9.0,3.180880955628192,5.0294,2.384186212377147,1.0,125.0,11.983471074380166
IDFCFIRSTB,2024-03-22,10.0,3.226623684135667,0.6589,-0.1147028709552503,-1.0,3.0,15.702479338842975
IDFCFIRSTB,2024-03-28,19.0,6.940587651808002,1.2012,0.1914325377471341,1.0,6.0,77.27272727272728
IDFCFIRSTB,2024-04-29,16.0,4.531231133687052,1.5315,0.4217941422222862,1.0,32.0,48.760330578512395
IDFCFIRSTB,2024-05-21,17.0,4.165189398476118,0.9113,0.1539595886122601,1.0,22.0,40.49586776859504
IDFCFIRSTB,2024-07-04,16.0,4.1115310236426215,1.1451,0.2597925938083197,1.0,44.0,37.603305785123965
IDFCFIRSTB,2024-08-26,11.0,3.1093160674488383,1.017,-0.1431177780428094,-1.0,53.0,6.6115702479338845
IDFCFIRSTB,2024-10-28,20.0,6.029070734211274,0.5349,-0.4231138169992319,-1.0,63.0,70.6611570247934
IDFCFIRSTB,2025-01-27,15.0,4.835329442516812,0.0171,-0.3400583495255371,-1.0,91.0,53.30578512396694
IDFCFIRSTB,2025-04-02,11.0,3.1730683014390446,0.7781,-0.0145910286244983,-1.0,65.0,11.15702479338843
IDFCFIRSTB,2025-04-17,28.0,8.601019411207094,1.8412,0.5441007278703349,1.0,15.0,87.60330578512396
IDFCFIRSTB,2025-08-18,17.0,4.96658063211411,3.1384,1.2257896359705631,1.0,123.0,54.54545454545455
IDFCFIRSTB,2025-11-06,16.0,4.359206707132431,0.0932,-0.4379598826268786,-1.0,80.0,44.62809917355372
IDFCFIRSTB,2025-12-08,14.0,3.7920975342164738,2.9347,0.915868227327729,1.0,32.0,28.09917355371901
IDFCFIRSTB,2026-02-22,20.0,6.836445123257787,-2.4984,-1.8034063966242768,-1.0,76.0,76.85950413223141
IDFCFIRSTB,2026-06-23,19.0,4.638207068523792,-5.1722,-1.4351595207490055,-1.0,121.0,50.82644628099174
INDUSINDBK,2023-10-03,7.0,6.787864172976564,1.1934,0.7459625708638096,1.0,,76.85950413223141
INDUSINDBK,2023-10-17,8.0,5.843416599023463,1.01,0.5496956115415559,1.0,14.0,68.59504132231405
INDUSINDBK,2023-11-02,9.0,5.153182931897054,1.5475,1.2060077796486597,1.0,16.0,58.67768595041323
INDUSINDBK,2023-11-09,7.0,3.4195485460655446,1.0834,0.9697643242987136,1.0,7.0,21.074380165289256
INDUSINDBK,2024-02-06,8.0,4.111338076003216,0.6034,0.3131665850976118,1.0,89.0,37.1900826446281
INDUSINDBK,2024-04-29,6.0,3.138376063640824,1.434,1.0964045479563995,1.0,83.0,9.090909090909092
INDUSINDBK,2024-06-19,5.0,3.184739843782174,1.5475,1.2249329869072358,1.0,51.0,12.396694214876034
INDUSINDBK,2024-07-05,5.0,3.0598660942114235,0.8203,0.2840920749023312,1.0,16.0,4.958677685950414
INDUSINDBK,2024-07-30,5.0,3.2225083774328325,1.2846,0.7726550492846914,1.0,25.0,14.87603305785124
INDUSINDBK,2024-08-07,8.0,5.361075217004808,0.6113,0.0248236854417811,1.0,8.0,63.22314049586777
INDUSINDBK,2024-11-05,7.0,4.492318584480951,-1.0571,-1.8749464824172928,-1.0,90.0,47.93388429752066
INDUSINDBK,2024-11-21,8.0,5.23353165903114,1.4161,1.0151877259768107,1.0,16.0,59.917355371900825
INDUSINDBK,2024-12-20,8.0,4.147871843603587,0.128,-0.4432735814245038,-1.0,29.0,39.256198347107436
INDUSINDBK,2025-02-05,11.0,5.004984128964994,1.1827,0.9787099404294206,1.0,47.0,55.371900826446286
INDUSINDBK,2025-03-11,13.0,4.335762029117222,-1.2046,-2.102216946645708,-1.0,34.0,44.214876033057855
INDUSINDBK,2025-05-22,13.0,3.9841156752565032,0.1914,-0.0636342002943448,-1.0,72.0,33.88429752066116
INDUSINDBK,2025-10-18,5.0,4.791513197948536,-0.5951,-0.6464452586958354,-1.0,149.0,52.47933884297521
LICHSGFIN,2024-09-25,6.0,25.806735200318307,-0.1066,-0.7389654973715051,-1.0,,98.7603305785124
LTF,2023-05-22,7.0,6.522583648228005,-1.3181,-1.5794476570420355,-1.0,,74.3801652892562
LTF,2023-06-21,6.0,4.443939597152708,0.758,0.5285138945313318,1.0,30.0,46.69421487603306
LTF,2023-07-04,5.0,3.126227331631139,0.5252,0.2797317284931657,1.0,13.0,8.264462809917356
LTF,2023-09-12,5.0,3.689353829476598,-0.9591,-0.9932871907036064,-1.0,70.0,25.206611570247933
LTF,2024-03-19,6.0,7.484203766528892,0.8143,0.4537496820239473,1.0,189.0,83.05785123966942
LTF,2024-04-04,5.0,4.561847974316469,0.1519,-0.2161395212594563,-1.0,16.0,50.0
LTF,2024-06-13,5.0,5.149589402626757,1.0379,0.9357724766669244,1.0,70.0,57.85123966942149
LUPIN,2024-12-31,6.0,7.739735363919328,0.9387,0.7761675610920867,1.0,,84.29752066115702
